taxid	organism_name
714	Aggregatibacter actinomycetemcomitans
732	Aggregatibacter aphrophilus
739	Aggregatibacter segnis
648995	Rhizobium pusense
511	Alcaligenes faecalis
214856	Alistipes finegoldii
328814	Alistipes shahii
1652	Alloiococcus otitis
419015	Alloscardovia omnicolens
346045	Amycolatopsis benzoatilytica
31958	Amycolatopsis orientalis
33029	Anaerococcus hydrogenalis
33032	Anaerococcus lactolyticus
33034	Anaerococcus prevotii
33036	Anaerococcus tetradius
156456	Anaeroglobus geminatus
769	Anaplasma centrale
770	Anaplasma marginale
142058	Anaplasma ovis
948	Anaplasma phagocytophilum
28264	Arcanobacterium haemolyticum
131112	Arcanobacterium phocae
28197	Arcobacter butzleri
28198	Arcobacter cryaerophilus
28200	Arcobacter skirrowii
91915	Asaia bogorensis
1382	Lancefieldella parvula
1383	Lancefieldella rimae
82135	Fannyhessea vaginae
100225	Austwickia chelonae
728	Avibacterium paragallinarum
1392	Bacillus anthracis
1396	Bacillus cereus
1179100	Bacillus cereus biovar anthracis
74308	Bacillus circulans
1398	Bacillus coagulans
580165	Bacillus cytotoxicus
324767	Bacillus infantis
1402	Bacillus licheniformis
1404	Bacillus megaterium
1405	Bacillus mycoides
1408	Bacillus pumilus
1428	Bacillus thuringiensis
47678	Bacteroides caccae
357276	Phocaeicola dorei
28111	Bacteroides eggerthii
817	Bacteroides fragilis
290053	Bacteroides helcogenes
28116	Bacteroides ovatus
46506	Bacteroides stercoris
818	Bacteroides thetaiotaomicron
820	Bacteroides uniformis
821	Phocaeicola vulgatus
52764	Bartonella alsatica
1318743	Bartonella ancashensis
774	Bartonella bacilliformis
111504	Bartonella birtlesii
155194	Bartonella bovis
56426	Bartonella clarridgeiae
33044	Bartonella doshiae
807	Bartonella elizabethae
33045	Bartonella grahamii
38323	Bartonella henselae
92181	Bartonella koehlerae
803	Bartonella quintana
481139	Bartonella rattaustraliani
395923	Bartonella rochalimae
165694	Bartonella schoenbuchensis
33046	Bartonella taylorii
85701	Bartonella tribocorum
1472345	Basilea psittacipulmonis
663	Vibrio alginolyticus
670	Vibrio parahaemolyticus
1015	Bergeyella zoohelcum
47735	Bibersteinia trehalosi
1680	Bifidobacterium adolescentis
1685	Bifidobacterium breve
1689	Bifidobacterium dentium
158787	Bifidobacterium scardovii
521	Bordetella avium
463025	Bordetella bronchialis
518	Bordetella bronchiseptica
463014	Bordetella flabilis
103855	Bordetella hinzii
35814	Bordetella holmesii
519	Bordetella parapertussis
